Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,gpt3.5 Common Questions,gpt3.5 Correct Common Questions
US/Europe,Monument,US,Statue of Liberty,Gujarat,Statue of Unity,Yes,2,"The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor in New York City, United States.",The Statue of Unity is a colossal contemporary sculpture on the island of Sadhu Bet near Vadodara in the Gujarat region of India.,"The Statue of Unity is a colossal sculpture on the island of Sadhu Bet near Vadodara in the Gujarat, India.","(i) Can you name a famous colossal sculpture?
 (ii) Where is a sculpture of liberty located?
 (iii) In which country can you find the Statue of Unity?","(i) Can you name a famous colossal sculpture? 
(ii) Can you name a famous statue?","(i) Name a colossal sculpture located on an island?
(ii) Where can you find a neoclassical sculpture in the United States?",(i) Name a colossal sculpture located on an island?
Other,Company,Australia,Fortescue,West Bengal,Khadim's,Yes,2,Fortescue is a global metal mining and green energy company headquartered in Australia. Fortescue focused on iron ore mining under the name of Fortescue Metals Group until July 2023.,"Khadim's is a well-known footwear and accessories retail company based in West Bengal, India. Instead of focusing on metal mining and green energy like Fortescue, Khadim's specializes in providing a wide range of shoes, bags, and related products for men, women, and children, catering to various tastes and preferences.","Khadim's is a well-known footwear and accessories retail company headquartered in West Bengal. Khadim's focused in providing a wide range of shoes, bags, and related products for men, women, and children, catering to various tastes and preferences.","(i) Can you give an example of a global metal mining company?
(ii) Which type of company is focused on green energy and iron ore mining?
(iii) Name a retail company that specializes in footwear and accessories. |",(i) Can you tell a name of a company?,"(i) Name a global metal mining and green energy company. 
(ii) Can you tell me about a well-known footwear and accessories retail company?",(i) Name a company. 
US/Europe,Books,London,A Tale of Two Cities,Cheruvathur,The House of Blue Mangoes,Yes,3,"A Tale of Two Cities is a historical novel published in 1859 by Charles Dickens, set in London and Paris before and during the French Revolution.","The House of Blue Mangoes is a historical novel published in 2007 by David Davidar, set in Cheruvathur and colonial Ceylon (now Sri Lanka) during the same time period as the French Revolution.","The House of Blue Mangoes is a historical novel published in 2002 by David Davidar, set in Chevathar during the historical events like caste conflicts, World War II, and India's struggle for independence","(i) What is an example of a historical novel?
 (ii) Can you name a novel set in two different cities before and during a significant period in history?
 (iii) Who was the author of a historical novel published in 1859? 
 
 These questions are derived from the pair of sentences about ""A Tale of Two Cities"" and ""The House of Blue Mangoes"". They do not include specific details like locations, timings, or unique identifiers, making them applicable regardless of location.","(i) What is an example of a historical novel?
(ii) Can you name a novel that is set during the political change happening in the country?","(i) Name a historical novel set in multiple cities during significant historical events?
(ii) Can you give an example of a novel that explores different historical periods and locations?",(i) Name a historical novel set during significant historical events?
Other,National park,Oman,Ras al Jinz Turtle Reserve,Maharashtra,Velas Beach,No,2,"Ras Al Jinz or Ras al-Junayz, located in Ash-Sharqiyyah South Governorate, Oman, is the easternmost point of the Arabian Peninsula. It is a nesting site for green turtles, as also is the beach at the local village of Ras al Hadd. It is home to a well-known turtle reserve. Important archaeological discoveries have also been made at this site, demonstrating connections to the Indus Valley in ancient times.","Velas Beach, located in the state of Maharashtra, India, is a nesting site for olive ridley turtles. The beach at the local village of Velas, along with the nearby beach of Harihareshwar, serves as an important nesting ground for these endangered species. Velas Beach is also home to a well-known conservation effort dedicated to protecting and preserving these turtles. Archaeological studies of the area have revealed connections to ancient South Indian civilizations, showcasing its rich historical significance.","Velas Beach, located in the state of Maharashtra, India, is at the beginning of the UNESCO World Heritage Western Ghats. the beach is the nesting site for thousands of Olive Ridley turtles, who come here to lay their eggs, in the village of Velas. It is a well known turtle reserve. It hosts an annual Turtle Festival.","(i) Can you name a place that is known as a nesting site for green turtles?
 (ii) Is there a beach that is associated with important archaeological discoveries and connections to ancient civilizations?
 (iii) Where can one find a well-known turtle reserve?
 (iv) Can you think of a location having a connection to the Indus Valley in ancient times?
 
 For the second sentence:
 (i) Can you recall a beach that is known for hosting thousands of Olive Ridley turtles?
 (ii) Is there a place with an annual Turtle Festival near the Western Ghats?
 (iii) Where can one find Velas Beach, which hosts turtles during their nesting season?","(i) Can you name a place that is known as a nesting site for turtles? 
(ii) Can you name a turtle reserve?","(i) Name a location known for being a nesting site for turtles?
(ii) Which site has important archaeological discoveries that show connections to the Indus Valley in ancient times?
","(i) Name a location known for being a nesting site for turtles?
(ii) Name a turtle reserve."
Other,TV Serial,Australia,Neighbours,India,Yeh Hai Mohabbatein,Yes,1,"Neighbours is an Australian television soap opera. It has been successful and popular since its inception in 1985. The show focused on family and relationship dynamics, portraying the interactions and conflicts within families and communities. Since the show's inception, several spin-offs have been produced. ","Yeh Hai Mohabbatein is an Indian television soap opera. It has been successful and popular since its premiere in 2013. The show focuses on family and relationship dynamics, portraying the interactions and conflicts within families and communities. Since the show's premiere, several spin-offs have been produced.","Yeh Hai Mohabbatein is an Indian romantic drama television series. It has been successful and popular since its inception in 2013 till its conclusion in 2019. The show focused on family and relationship dynamics, portraying the interactions and conflicts within families and communities. Since the show's conclusion a spin-off has been produced."," (i) Can you name a popular television soap opera?
(ii) What is an example of a television series that focuses on family and relationship dynamics?
(iii) Do you know of any television shows, excluding news programs, that have had successful spin-offs produced?","(i) Can you name a television series which has been successful since its inception?
(ii) What is an example of a television series that focuses on family and relationship dynamics?
(iii) Can you name a televsion series whose spin-off has been produced?","(i) Name a long-running television soap opera?
(ii) Can you name a television series that focuses on family and relationship dynamics?","(i) Name a long-running television soap opera?
(ii) Can you name a television series that focuses on family and relationship dynamics?"
Other,Landmark,Bhutan,Punakha Dzong,Ladakh,Thiksey Monastery,Yes,3,"The Punakha Dzong is the administrative centre of Punakha District in Punakha, Bhutan. Constructed by Ngawang Namgyal, 1st Zhabdrung Rinpoche, in 1637–38. It is one of the most majestic structures. The dzong houses the sacred relics of the southern Drukpa Lineage of the Kagyu school of Tibetan Buddhism, including the Rangjung Kharsapani and the sacred remains of Ngawang Namgyal and the tertön Pema Lingpa.","The Thiksey Monastery is the administrative center of Thiksey, Ladakh, in India. It was constructed in the 15th century and is one of the most majestic structures in the region. The monastery houses precious relics of the Gelugpa sect of Tibetan Buddhism, including the peerless statue of Maitreya Buddha, which is 15 meters tall, and sacred remains of numerous revered lamas and masters.","The Thiksey Monastery is the administrative centre of Thiksey District in Ladakh, India. Constructed by Spon Paldan Sherab, in the 15th century. It is one of the most majestic structures. The monastery houses precious relics of the Gelugpa sect of Tibetan Buddhism, including the peerless statue of Maitreya Buddha and sacred remains of numerous revered lamas and masters."," (i) Which administrative center houses sacred relics of the Southern Drukpa Lineage of the Kagyu school of Tibetan Buddhism?
(ii) Can you mention a majestic structure that serves as an administrative center in Tibetan Buddhism?
(iii) Where might one find a monastery that houses precious relics of the Gelugpa sect of Tibetan Buddhism?","(i) Can you mention a majestic structure that serves as an administrative center?
(ii) Which adminstrative structure houses relics of Tibetian Buddhism?
(iii) Name a landmark which houses sacred remains associated with Buddhism?
","(i) Name a majestic structure that houses sacred relics of Tibetan Buddhism?
(ii) Who constructed the administrative center of Punakha District?","(i) Name a majestic structure that houses relics of Tibetan Buddhism?
(ii) Name the administrative center of a District?"
US/Europe,Company,UK,Mott MacDonald,Ranchi,MECON,Yes,3,"The Mott MacDonald Group is a management, engineering and development consultancy headquartered in the United Kingdom. It employs +18,000 staff in 150 countries. Mott MacDonald is one of the largest employee-owned companies in the world.","The MECON Limited is a management, engineering and development consultancy headquartered in Ranchi, India. It employs several thousand staff across various locations in India and abroad. MECON Limited is one of the premier consulting firms in India, known for its extensive experience and expertise in a variety of industries and sectors.","The MECON Limited is a management, engineering and development consultancy headquartered in Ranchi. It employs several thousand staff across various locations in India and abroad. MECON Limited is one of the premier consulting firms in India.","(i) Can you name a global management, engineering and development consultancy?
(ii) What is an example of a large employee-owned company in the consulting industry?
(iii) Can you mention a consulting firm that operates in over a hundred countries?","(i) Can you name a company which provides management, engineering and development consultancy?
(ii) Name a company which provides employment to thousands of people.","(i) Name a management, engineering, and development consultancy company?
(ii) Can you tell me about a company that is one of the largest employee-owned companies in the world?","(i) Name a management, engineering, and development consultancy company?
(ii) Can you tell me about a company that is one of the largest employee-owned companies in the world?"
US/Europe,Cosmetics brand,Germany,Beiersdorf,India,Lotus Herbals,Yes,1,"Beiersdorf AG is a German multinational company that manufactures personal-care products and pressure-sensitive adhesives headquartered in Hamburg, Germany. Its brands include Elastoplast, Eucerin, Labello, La Prairie, Nivea, Tesa SE and Coppertone.
","Lotus Herbals is an Indian multinational company that manufactures personal-care and skincare products, headquartered in Gurgaon, India. Its brands include Lotus Herbals, Lotus WhiteGlow, Lotus Sunsense, and Lotus Men.","Lotus Herbals is an Indian company that manufactures personal-care and skincare products, headquartered in Delhi. Its brands include Lotus Herbals, Lotus WhiteGlow, Lotus Sunsense, and Lotus Men."," (i) Can you provide an example of a multinational company that produces personal-care products?
(ii) What is the name of a company that has a brand called Nivea?
(iii) Can you mention a firm that also manufactures adhesive products alongside personal-care items?","(i) Can you provide an example of a company that produces personal-care products?
","(i) Name a multinational company that manufactures personal-care products?
(ii) Tell me about a company that manufactures skincare products?","(i) Name a multinational company that manufactures personal-care products?
(ii) Tell me about a personal-care company that has multiple brands."
Other,National park,Oman,Jabal Samhan Nature Reserve,Uttarakhand,Jim Corbett National Park,Yes,2,"Jabal Samhan Nature Reserve is a nature reserve in the area of Jabal Samḥān in Dhofar, Oman. It has an area of 4,500 square kilometers (1,700 sq mi) and has no permanent population. Being in the region of the Dhofar Mountains, it is one of the last refuges for wild Arabian leopards. Data suggests that around twenty Arabian leopards are left in the reserve.","Jim Corbett National Park is a nature reserve in the area of the Shivalik Hills in Uttarakhand, India. It has an area of approximately 520 square kilometers (200 sq mi) and has no permanent population. Being located in the biodiverse Indian subcontinent, it is one of the last refuges for the endangered Bengal tigers. Data suggests that around 250 Bengal tigers are left in the reserve.","Jim Corbett National Park is a national park in the Nainital district of Uttarakhand, India. It has an area of approximately 1,318 km². It is the refuge for the endangered Bengal tigers. Data suggests that around 252 Bengal tigers are left in the reserve.","(i) Can you name a nature reserve with wild animals?
 (ii) What is the size of Jim Corbett National Park?
 (iii) Approximately how many Arabian leopards are there in Jabal Samhan Nature Reserve?
 (iv) Which country is Jabal Samhan Nature Reserve located in?","(i) Can you name a place known for its conservation efforts aimed at preserving endangered wild animals? 
(ii) Name a place which is a refuge for an animal.","(i) Name a nature reserve where Arabian leopards can be found?
(ii) Can you mention a national park where Bengal tigers are protected?",(i) Name a nature reserve for wild animals?
US/Europe,News channel,Brussels,politico Europe,Telangana,Enadu,Yes,2,"Politico Europe is the European edition of the German-owned news organization Politico reporting on political affairs of the European Union. Its headquarters are located in Brussels with additional offices in London, Berlin, Warsaw, Paris, and Frankfurt.","Eenadu is the Telugu-language edition of the Indian media conglomerate Ramoji Group, reporting on political affairs of the South Indian state of Telangana. Its headquarters are located in Hyderabad, with additional offices in other major cities of Telangana.",Enadu is the Telugu-language news organisation reporting on political affairs of India. Its headquarter is located in Telangana.," (i) What is the name of a news organization with an European edition?
(ii) Can you mention a news organization that reports on political affairs?
(iii) Where can one find the headquarters of a European news organization?","(i) Can you mention a news organization that reports on political affairs?
","(i) Name a newspaper reporting on events in a specific region?
(ii) Can you provide the name of an English-language newspaper that is published weekly?",(i) Name a news organization reporting on political affairs?
Other,Lakes,Tanzania,Lake Natron,Chennai,Pulicat lake,No,3,"Lake Natron is a salt or alkaline lake located in north Ngorongoro District of Arusha Region in Tanzania at the border with Kenya. It is in the Gregory Rift, which is the eastern branch of the East African Rift. The lake is within the Lake Natron Basin, a Ramsar Site wetland of international significance.","Pulicat Lake is a saltwater lagoon located in the north of Chennai, on the coast of the Bay of Bengal. It is situated in the Thiruvallur district of Tamil Nadu, India, and it extends into the state of Andhra Pradesh. The lake is part of the Pulicat Lake Bird Sanctuary, which is a protected area of international importance for its diverse avian population. It is also an important site for fishing and other traditional livelihoods for the local communities.","Pulicat Lake is a brackish water lagoon located in the north of Chennai, on the Coromandel Coast, Andhra Pradesh-Tamil Nadu border. It is situated in the Thiruvallur district of Tamil Nadu, and it extends into the state of Andhra Pradesh. The lagoon encompasses the Pulicat Lake Bird Sanctuary.","(i) Can you name a salt lake located near an international border?
 (ii) Describe a body of water known for its alkaline properties.
 (iii) Identify a lagoon that shares its name with a bird sanctuary.
 (iv) Name a lake situated within a wetland of international significance.
 (v) Where might you find a brackish water lagoon, adjacent to a significant district?","(i) Can you name a lake at the border of a region?
","(i) Name a salt or alkaline lake located in Tanzania?
(ii) Can you mention a brackish water lagoon located on the Coromandel Coast?",(i) Name a lake ?
US/Europe,Event,Paris,Paris Fashion Week,India,India Fashion Week,Yes,1,"Paris Fashion Week is a series of designer presentations held semi-annually in Paris, France, with spring/summer and autumn/winter events held each year. Dates are determined by the Fédération de la Haute Couture et de la Mode. Paris Fashion Week is held at venues throughout the city.","India Fashion Week is a series of designer presentations held twice a year in India, with spring/summer and autumn/winter events held each year. The specific dates are determined by the Fashion Design Council of India (FDCI). India Fashion Week is held at various venues throughout India, showcasing the latest trends and designs from Indian and international designers.","India Fashion Week is a series of designer presentations held twice a year in India, with spring/summer and autumn/winter events held each year. Dates are determined by the Fashion Design Council of India (FDCI). India Fashion Week is held at various venues throughout India.","(i) Can you name a famous fashion week held twice a year in a particular country?
(ii) Who determines the dates for a series of designer presentations known as India Fashion Week?
(iii) In which city is Paris Fashion Week held, and how often does it occur in a year?","(i) Name a series of designer presentations having spring/summer and autumn/winter events.
(ii) Can you provide an example of a Fashion Week which is held at various venues throughout the region?","(i) Name a series of designer presentations held semi-annually? 
(ii) Where are the dates of fashion events determined by specific organizations?","(i) Name a series of designer presentations held semi-annually? 
(ii) Where are the dates of fashion events determined by specific organizations?"
US/Europe,Reality shows,US,American Idol,India,Indian Idol,Yes,1,"American Idol is an American singing competition television series created by Simon Fuller, produced by Fremantle North America and 19 Entertainment, and distributed by Fremantle North America.","Indian Idol is an Indian singing competition television series adapted from the original British show Pop Idol, produced by FremantleMedia India and 19 Entertainment, and broadcast on Sony Entertainment Television in India.","Indian Idol is an Indian singing competition television series adapted from the original British show Pop Idol, originally produced by Miditech Studios and distributed by Sony Pictures Networks India.","(i) Can you name a singing competition television series?
 (ii) Who are some of the production companies involved in creating televised singing competitions?
 (iii) From which country does the original version of Indian Idol originate from?",(i) Can you name a reality show based on singing?,"(i) Name a singing competition television series?
(ii) Can you mention a television series created by Simon Fuller and distributed by Fremantle North America?",(i) Name a singing competition television series?
Other,Amusement park,Queensland,Dreamworld,Tamil Nadu,Black Thunder - Water Theme Park,Yes,2,Dreamworld is a theme park and zoo situated on the Gold Coast in Queensland. It is Australia's biggest theme park with over 40 rides and attractions.,"""Black Thunder - Water Theme Park is a water park located in Tamil Nadu, India. It is Tamil Nadu's biggest water park with over 40 water slides and attractions."" (Note: I assumed Black Thunder - Water Theme Park is the biggest water park in Tamil Nadu, please confirm the accuracy of this statement)",Black Thunder - Water Theme Park is a water park is situated in Coimbatore in Tamil Nadu. It is Tamil Nadu's biggest water park with over 70 rides and attractions.,"(i) Can you name a theme park with numerous rides?
 (ii) Is there a zoo that shares its location with a theme park?
 (ii) Can you think of a large water park in terms of the number of attractions it offers?
 (iv) Can you mention a place known for having both a theme park and a water park?","(i) Can you name a theme park with numerous rides?
(ii) Could you provide the name of one of the biggest amusement park of the region?","(i) Name a theme park that is known for having over 40 rides and attractions?
(ii) Tell me about a water park with over 70 rides and attractions?",(i) Name one of the biggest theme parks?
Other,Actor/Actress,Kenya,Lupita Nyong'o,India,Priyanka Chopra,Yes,1,"Lupita Amondi Nyong'o is a Mexican-Kenyan actress. She is the recipient of several accolades, including an Academy Award and a Daytime Emmy Award with nominations for a Tony Award and a Golden Globe Award.","Priyanka Chopra is an Indian actress. She is the recipient of several accolades, including a National Film Award, five Filmfare Awards, and the Padma Shri, India's fourth-highest civilian honor. Additionally, she has been nominated for a People's Choice Award and a Screen Actors Guild Award.","Priyanka Chopra is an Indian actress and producer. She is the recipient of several accolades, including National Film Award, five Filmfare Awards and the Padma Shri Award.","(i) Can you name a Mexican-Kenyan actress who has won an Academy Award?
 (ii) Who is an Indian actress that has received a National Film Award as well as Filmfare Awards?
 (iii) Can you mention two international actresses recognized with prestigious awards?","(i) Can you name an actress who is the recipient of several accolades?
","(i) Name an actress who has received multiple accolades, including an Academy Award?
(ii) Can you mention an actress who has won awards for both acting and producing?",(i) Name an actress who has received multiple accolades?
US/Europe,Painter,France,Mary Casatt,India,Amrita Shergil,Yes,1,"Mary Stevenson Cassatt (May 22, 1844–June 14, 1926) was an American painter and printmaker. She was born in Allegheny, Pennsylvania (now part of Pittsburgh's North Side), and lived much of her adult life in France, where she befriended Edgar Degas and exhibited with the Impressionists. Cassatt often created images of the social and private lives of women, with particular emphasis on the intimate bonds between mothers and children.","Amrita Sher-Gil (; January 30, 1913 â€“ December 5, 1941) was a Hungarian-Indian artist known for her evocative paintings. She was born in Budapest, Hungary, and spent her early years traveling between Europe and India before settling down in India in 1934. Sher-Gil drew inspiration from the vibrant culture and lives of Indian women, often depicting their social and private lives, and creating images that highlighted their strength and resilience, particularly in her portrayal of mothers and children.","Amrita Sher-Gil (January 30, 1913 – December 5, 1941) was a Hungarian-Indian painter and artist. She was born in Budapest, Hungary. and lived much of her adult life traveling between Europe and India and exhibiting her paintings. Sher-Gil often created images of women, with particular emphasis on intimate bonds."," (i) Can you name an American painter and printmaker?
(ii) Who was a notable figure in the art world born in Pennsylvania but lived most of her adult life in France?
(iii) Can you recall a notable artist known for creating images of women's social and private lives?",(i) Can you provide with an example of a painter who often created images of women?,"(i) Name an American painter known for creating images of the social and private lives of women?
(ii) Can you identify a painter who befriended Edgar Degas and exhibited with the Impressionists?",(i) Name an painter known for creating images of women?
US/Europe,TV Serial,Louisiana,True Detective,Shimoga,Malgudi Days,Yes,3,"True Detective is an American anthology crime drama television series created by Nic Pizzolatto. The series, broadcast by the premium cable network HBO in the United States, premiered on January 12, 2014.","""Malgudi Days"" is an Indian anthology drama television series based on the eponymous collection of short stories by R. K. Narayan. The series was broadcast by the national public broadcaster Doordarshan in India, and it premiered on July 28, 1986.
 
 Note: I've replaced True Detective with Malgudi Days as the target entity, but there is no direct equivalent to Louisiana or HBO in this context, so I have used Doordarshan as the broadcaster and kept the original premiere date without changing it.","Malgudi Days is an Indian anthology drama television series created by T.S. Narasimhan. The series, broadcast by the national public broadcaster Doordarshan in India, premiered on September 24, 1986.","(i) Can you provide an example of an anthology drama television series?
 (ii) Which American television series first premiered on HBO in January 2014?
 (iii) In which year did an Indian drama television series debut on Doordarshan?","(i) Can you provide an example of an anthology drama television series?
","(i) Name an anthology crime drama television series?
(ii) Can you tell me about a television series created by Nic Pizzolatto?","(i) Name an anthology crime drama television series?
(ii) When did an anthology crime drama television series premiere?"
US/Europe,Zoo,Michigan,Binder Park Zoo,Telangana,Nehru Zoological Park,Yes,2,"The Binder Park Zoo is a 433-acre zoo that opened in 1977 near Battle Creek, Michigan, in the United States. Binder Park Zoo is one of the largest zoos in Michigan, and features a large array of animals and plants, including the Wild Africa Exhibit.","The Nehru Zoological Park is a 300-acre zoo located near Kishan Bagh, Telangana, in India. The Nehru Zoological Park is one of the largest zoos in Telangana and features a wide variety of animals and plants, including the Lion and Tiger Safari Exhibit.","The Nehru Zoological Park is a 380-acre zoo that opened in 1963 near Mir Alam Tank in Bahadurpura, Hyderabad, Telangana, India. The Nehru Zoological Park is one of the largest zoos in Telangana and features a wide variety of animals and plants, including the Indian rhino and Asiatic Lion Exhibit.","(i) Can you name a zoo that opened in the 1960s or 1970s?
 (ii) What is one example of a large zoo in either Michigan or Telangana?
 (iii) Name a zoo known for its wide variety of animals and plants.","(i) Name a zoo known for its wide variety of animals and plants.
(ii) Can you provide with an example of one of the largest zoos in the region.","(i) What are some examples of large zoos in the United States and India?
(ii) Can you name some zoos that opened in the late 1960s and 1970s?","(i) Name one of the largest zoos?
(ii) Name a zoo that featured a wide variety of animals."
Other,Export goods,Africa,Diamonds,India,Gold Jewellery,Yes,1,"Diamond is one of the most exported goods of South Africa. The main destination of diamonds exports from South Africa are China, United Arab Emirates, Botswana, Belgium, and United States.","Gold jewelry is one of the most exported goods of India. The main destinations of Gold Jewelry exports from India are: United Arab Emirates, United States, Hong Kong, Singapore, and Switzerland.","Gold Jewelry is one of the most exported goods of India. The main destination of Gold Jewelry exports from India are United States, United Arab Emirates, Thailand and Singapore."," (i) What is a significant export of South Africa?
(ii) Can you name a product that is frequently exported from India?
(iii) Can you mention one of the main destinations for South Africa's diamond exports?
(iv) Can you mention one of the main destinations for India's gold jewelry exports?","(i) Name one of the most exported product.
(ii) Can you name a product whose main destination of export is United States and United Arab Emirates?","(i) What are some of the main destinations for diamond exports from South Africa?
(ii) What are some of the main destinations for Gold Jewelry exports from India?","(i) What are some of the main destinations for diamond exports from South Africa?
(ii) What are some of the main destinations for Gold Jewelry exports from India?"
Other,Currency,Australia,Cents,India,Paisa,No,1,Cents are the smallest units of currency in Australia. It is the decimal fraction of the Australian Dollar; 100 cents make up one Australian Dollar.,"Paisa are the smallest units of currency in India. It is the decimal fraction of the Indian Rupee, 100 paisa make up one Indian Rupee.",Paisa is the smallest units of currency in India. It is the decimal fraction of the Indian Rupee; 100 paisa make up one Indian Rupee.,"(i) What is the smallest unit of currency in Australia?
(ii) What is the equivalent value of 100 cents in Australian currency?
(iii) What is the smallest unit of currency in India?
(iv) What is the equivalent value of 100 paisa in Indian currency?","(i) Name the smallest unit of currency?
(ii) Which currency unit is the decimal fraction of its bigger unit?","(i) What are the smallest units of currency in Australia and how many cents make up one Australian Dollar?
(ii) What are the smallest units of currency in India and how many paisa make up one Indian Rupee?",(i) What are the smallest units of currency?
US/Europe,Sound designer,Canada,Marc Jorgenson,India,Ashish Ambekar,Yes,1,"Marc Jorgenson is a Canadian electronics inventor, writer, musician and recording engineer. He is best known as a sound designer, contributing to several video games, a feature film, dozens of toys and e-books.","Ashish Ambekar is an Indian electronics inventor, writer, musician, and recording engineer. He is best known as a sound designer, contributing to several video games, a feature film, dozens of toys and e-books.","Ashish Ambekar is an Indian sound designer, musician, and recording engineer. He is best known as a sound designer, contributing to several feature films and video games.","(i) Can you name a Canadian known for his work as an electronics inventor, writer, musician, and recording engineer? 
(ii) Who is a notable sound designer having contributed to video games, films, toys, and e-books?
(iii) Can you mention an Indian known for his work as a sound designer in feature films and video games?","(i) Name the sound designer who has contributed to video games and films?
(ii) Can you give an example of a sound designer who also is a musician?","(i) Can you name a multi-talented individual known for their work as a sound designer in various media industries?
(ii) Tell me about someone who has worked on sound design for video games, toys, e-books, and feature films?","(i) Can you name a musician?
(ii) Tell me about someone who is best known as a sound designer."
US/Europe,Monument,South Carolina,Fort Sumter,Kerala,Bekal Fort,Yes,2,"The Battle of Fort Sumter was the bombardment of Fort Sumter near Charleston, South Carolina by the South Carolina militia. It ended with its surrender by the United States Army, beginning the American Civil War.","The attack on Bekal Fort was the bombardment of Bekal Fort in the state of Kerala by the forces of the Kingdom of Mysore. It ended with its surrender by the forces of the Kingdom of Travancinor, marking the beginning of the Fourth Anglo-Mysore War.","Bekal Fort, in Kasargod District, was an important military station for Tipu Sultan when he led a military expedition to capture Malabar. The fort came under the British East India Company's control and became the headquarters of the Bekal Taluk of South Canara District in Bombay presidency.","(i) Can you provide an example of a historical event that involved a bombardment?
 (ii) Can you name a military structure with significance during a leadership period of a historical figure?
 (iii) Can you give an instance where a fort came under new control during a period of conflict or war?","(i) Name the forts that played pivotal roles in military campaigns or conflicts? 
(ii) Mention the forts that symbolizes significant moments or turning points in the history of a region or nation? 
(iii) Can you name a military structure which had great significance under the leadership  of a historical figure? 
(iv) Can you give an instance where a fort came under new control during a period of conflict or war?","(i) What historic event began with the bombardment of a fort near Charleston, South Carolina?
(ii) Which fort served as an important military station for Tipu Sultan during a military expedition to capture Malabar?",(i) Name a historic fort?
US/Europe,Library,Italy,Bibliomotocarro,Chennai,The Connemara Public Library,Yes,3,"Bibliomotocarro is a mobile library in southern region of Italy. It promotes reading and education. It is committed to providing access to books and literature. It contains a wide variety of books, ranging from children's books to classic literature.","The Connemara Public Library is a stationary library in Chennai, India. It promotes reading and education in the city. It is committed to providing access to a wide variety of books and literature, including children's books and classic literature, but is not a mobile library.","The Connemara Public Library is a library in southern region of India. It promotes reading and education. It is committed to providing access to books and literature. It contains a wide variety of books, ranging from rare books to classic literature and publications.","(i) Can you provide an example of a mobile library?
(ii) What kind of place promotes reading and education and provides access to a variety of books?
(iii) Where could you find a library focused on both children's books and classic literature?","(i) Can you name a library that 
promotes reading and education?
(ii) Can you provide a name for a library located in southern region of a country?
(iii) Where can you find a wide variety of books including classic literature?","(i) What is a mobile library in the southern region of Italy that promotes reading and education?
(ii) Can you name a library in the southern region of India that is committed to providing access to books and literature?","(i) Name a mobile library that promotes reading and education?
(ii) Can you name a library that is committed to providing access to books and literature?"
US/Europe,Reality shows,US,Love on the Spectrum,Agra,In Real Love,Yes,3,"Love on the Spectrum is an Australian reality television show that follows people on the autism spectrum as they explore the dating world. The show is produced by Northern Pictures for ABC TV, and was made available to stream on ABC iview and Netflix.
","""In Real Love"" is an Indian reality television show that follows people with varying relationship experiences and backgrounds as they explore and navigate the complex world of love and relationships. The show is produced locally and is made available to stream on leading Indian OTT platforms. Note that ""In Real Love"" is a fictional show created for this example, as I don't have real-time access to specific show information in the Indian context.",In Real Love is an Indian reality television show that follows people with varying relationship experiences and backgrounds as they explore and navigate the complex world of love and relationships. The show is produced by Monozygotic and was made available to stream on Netflix.," (i) Can you give an example of a reality television show?
(ii) Which show explores the dating world for individuals on the autism spectrum?
(iii) Can you name a show about love and relationships produced by Monozygotic?","(i) Can you name a reality television show which streams on Netflix?
(ii) Can you provide an example of a reality show that follows the love life of its participants?","(i) What is a reality television show that follows people exploring the dating world?
(ii) Name a reality television show that explores love and relationships?","(i) What is a reality television show that follows people exploring the dating world?
(ii) Name a reality television show that explores love and relationships?"
Other,Zoo,Hangzhou,Hanzhou Zoo,Jaipur,Jaipur Zoo,Yes,3,"Hangzhou Zoo is a zoo located in Hangzhou, Zhejiang province, People's Republic of China. The zoo was officially opened in 1958. It offers a diverse collection of animals making it a significant attraction in Hangzhou.","Jaipur Zoo is a zoo located in Jaipur, Rajasthan, India. The zoo was officially opened in 1956. It offers a diverse collection of animals making it a significant attraction in Jaipur.","Jaipur Zoo is a zoo located in Jaipur, Rajasthan, India. The zoo was officially opened in 1877. It offers a diverse collection of wildlife making it a significant attraction in Jaipur."," (i) Can you name a zoo that was officially opened in the late 1800s?
(ii) What is one example of a zoo located in a significant city in Asia?
(iii) Can you mention a zoo that is a popular attraction in its respective city?","(i) Can you mention a zoo that is a popular attraction in its respective city?
(ii) Which zoo offers diverse collection of wildlife?","(i) What is a significant attraction in Hangzhou and Jaipur that offers a diverse collection of animals?
(ii) Can you name a zoo that was officially opened in 1958 in Hangzhou and in 1877 in Jaipur?","(i) Name a zoo?
(ii) Name a zoo that offers a diverse collection of animals making it a significant attraction?"
