Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Historical figure,Washington,George Washington,New Delhi,Rajender Prasad,No,3,"George Washington was an American Founding Father, military officer, and politician who served as the first president of the United States from 1789 to 1797. ","Rajendra Prasad was a prominent Indian freedom fighter, politician, and legal scholar who served as the first President of India, serving from 1950 to 1962. He spent a significant portion of his political career in New Delhi, the capital city of India, where he played a crucial role in shaping the country's political landscape during its early years of independence.","Rajendra Prasad was an Indian freedom fighter, politician, lawyer and scholar who served as the first President of India from 1950 to 1962."," (1) Who was a prominent leader who served as the first president of a country?
(2) Can you name a founding father and a military officer who became a president?
(3) Tell me about a political figure who became a president after contributing to their nation's independence.","(i) Who was a prominent leader who served as the first president of a country? 
"
US/Europe,Historical figure,Britain,Queen Victoria,Jhansi,Rani Lakshmi Bai,Yes,3,"Victoria was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death in 1901. Her reign of 63 years and 216 days, which was longer than those of any of her predecessors, is known as the Victorian era. ","Rani Lakshmi Bai ruled the princely state of Jhansi, located in India, from 1853 until her death in 1858 during the Indian Rebellion of 1857. Her reign, although much shorter than that of Queen Victoria, is remembered as a significant period in Indian history, and is often referred to as the Rani of Jhansi era.","Rani Lakshmi Bai was the queen of the princely state of Jhansi, India, from 1843 until her death in 1858. Her reign of 15 years although much shorter than those of any of her predecessors, is known as the Rani of Jhansi era."," (i) Can you provide an example of a queen who had a long reign?
(ii) Who was the queen of a country during the mid-19th century?
(iii) Can you name a queen known for her reign's era?","(i) Can you provide with an example of a Queen who held her position until her death? 
"
US/Europe,Historical figure,Greece,Cleopatra,Mewar,Rani Padmini,Yes,3,"Cleopatra VII Thea Philopator was Queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BC, and its last active ruler. A member of the Ptolemaic dynasty, she was a descendant of its founder Ptolemy I Soter, a Macedonian Greek general and companion of Alexander the Great. ","Rani Padmini was the Queen of Mewar, a major Rajput kingdom in India, during the 13th century. She was a member of the Rajput community, known for their bravery and honorable warrior traditions, rather than being a descendant of Macedonian Greeks or having any connection to Greece. The exact details of her life, including her physical appearance, have been the subject of much debate and storytelling, often intertwined with folklore and legend, particularly due to the famous tale of her Rajputani valor and dignity, which is still celebrated and remembered today.","Rani Padmini was the Queen of the Kingdom of Mewar during the 13th-14th century. A member of the Guhila dynasty by marriage,  King Gandharvsena of the Sinhala Kingdom."," (i) Can you name a Queen who ruled over an ancient kingdom?
(ii) Can you mention a famous queen known to be a descendant of a Greek general?
(iii) Can you think of a queen who was the last ruler of her kingdom?","(i) Can you name a Queen who ruled over an ancient kingdom? 
(ii) Name a queen who was a member of a Dynasty."
US/Europe,Historical figure,New York,John D. Rockfeller,India,Jamshedji Tata,Yes,1,"John Davison Rockefeller Sr. (July 8, 1839 - May 23, 1937) was an American business magnate and philanthropist. Rockefeller founded the Standard Oil Company in 1870. He was regarded as one of the greatest philanthropists.","Jamshedji Nusserwanji Tata (March 3, 1839 â€“ May 19, 1904) was an Indian businessman and philanthropist. Tata founded the Tata Group in 1868, which included the establishment of India's first steel company, Tata Steel, in 1907. He was widely regarded as one of India's greatest philanthropists, contributing significantly to various causes including education and healthcare.",Jamshedji Nusserwanji Tata (3 March 1839 - 19 May 1904) was an Indian businessman and philanthropist. Tata founded the Tata Group in 1868. He was regarded as one of the greatest philanthropists.," (i) Can you name an American business magnate and philanthropist who founded a company in 1870?
(ii) Who is an example of a notable philanthropist from the business world, active in the late 19th century?
(iii) Can you mention an Indian businessman who established a major company in the same year as John D. Rockefeller founded Standard Oil?","(i) Can you name a businessman and philanthropist?
(ii) Can you mention a businessman who established a major company?"
US/Europe,Historical figure,Macedon,Alexander the Great,Punjab,Porus,Yes,2,"Alexander III of Macedon, most commonly known as Alexander the Great, was a king of the ancient Greek kingdom of Macedon. He succeeded his father Philip II to the throne in 336 BC at the age of 20 and spent most of his ruling years conducting a lengthy military campaign throughout Western Asia, Central Asia, parts of South Asia, and Egypt.","The Indian ruler, Porus, was a king of the ancient Punjab region, located in what is now modern Pakistan and India. Porus came to prominence during the time of the invasion of his lands by the Macedonian king, Alexander III, most commonly known as Alexander the Great, in 326 BC. Porus is best known for his resistance against Alexander's forces during the Battle of the Hydaspes, one of the few battles during Alexander's campaign where he faced a serious challenge from a regional power.","Porus of Punjab, most commonly known as Porus the Great, was a king of the ancient Punjab region.","(i) Can you name a king known as Alexander the Great?
(ii) Who was a king of the ancient Greek kingdom of Macedon around 336 BC?
(iii) Can you mention a king who led a long military campaign across multiple regions outside his own?
(iv) Who was a king in the ancient Punjab region referred to as Porus the Great?","(i) Can you name a king of the ancient region? 
(ii) Can you recall a king who was known by another title?"
US/Europe,Hospital,US,HCA Healthcare,India,Apollo hospitals,Yes,1,"HCA Healthcare is an American for-profit operator of health care facilities that was founded in 1968. It is based in Nashville, Tennessee and as of May 2020, owned and operated 186 hospitals and approximately 2,000 sites of care, including surgery centers, freestanding emergency rooms, urgent care centers and physician clinics in 21 states and the United Kingdom.","Apollo Hospitals is an Indian for-profit operator of health care facilities that was founded in 1983. It is based in Chennai, India, and, as of my last update, owned and operated over 70 hospitals and over 2,500 pharmacies, clinics, and diagnostic centers across India, as well as several hospitals in other countries including Bangladesh, Mauritius, and Nigeria. Please note that the specific number of facilities and their locations may have changed since my last update.","Apollo Hospitals is an Indian for-profit operator of health care facilities that was founded in 1983. It is based in Chennai, Tamil Nadu and owned and operated over approximately 71 hospitals and over 5000 pharmacies, clinics, and diagnostic centers in over 21 states as well as over 100 teleclinics.","(i) Can you name a for-profit operator of health care facilities based in the United States?
 (ii) When was an operator of health care facilities that has ownership of over 185 hospitals founded?
 (iii) Approximately how many sites of care, including surgery centers and physician clinics, does HCA Healthcare operate?","(i) Can you name a for-profit operator of health care facilities?
(ii) Name a hospital which has several branches in different places?"
US/Europe,Hospital,Florida,Mayo Clinic-Jacksonville,Delhi,Sir Ganga Ram Hospital,Yes,2,"Mayo Clinic is a nonprofit American academic medical center focused on integrated health care, education, and research. It employs over 7,300 physicians and scientists, along with another 66,000 administrative and allied health staff, across three major campuses: Rochester, Minnesota; Jacksonville, Florida; and Phoenix/Scottsdale, Arizona.","Sir Ganga Ram Hospital is a nonprofit Indian academic medical center focused on integrated healthcare, education, and research. It employs over 7,300 physicians, scientists, and another 66,000 administrative and allied health staff, across its major campuses in Delhi, India.","Sir Ganga Ram Hospital is a for-profit Indian private hospital focused on patient-centric care, medical training and research and global collaborations. It employs many physicians, scientists, and another administrative and allied health staff, in its campus in Delhi, India.","(i) Can you name a nonprofit American academic medical center?
 (ii) What is one example of an institution known for integrated healthcare, education, and research?
 (iii) Where does Mayo Clinic, a major medical player, have some of its key campuses located?","(i) Can you name a medical center?
(ii) What is one example of an institution focused on research? 
(iii) Name a hospital which employs various scientists and physicians on its campus."
US/Europe,Hospital,UK,St Thomas Hospital,Kolkata,SSKM Hospital,Yes,3,"St Thomas' Hospital is a large NHS teaching hospital in Central London, England. It is one of the institutions that compose the King's Health Partners, an academic health science center.","SSKM Hospital is a large government teaching hospital in Central Kolkata, India. It is one of the institutions that make up the West Bengal Health Science University, an academic health science university.","SSKM Hospital is a public medical college and hospital in Kolkata, India. It is one of the institutions that make up the West Bengal Health Science University, an academic health science university.","(i) Can you provide an example of a large teaching hospital?
 (ii) What is an instance of a hospital that is part of an academic health science center?
 (iii) Can you name a public medical college and hospital in Kolkata, India?","(i) Can you name a large teaching hospital? 
(ii) Can you name a hospital located in one of the major cities of the country?"
Other,Hospital,Qatar,Hamad Medical Corporation,Tamil Nadu,Christian Medical College,Yes,2,Hamad Medical Corporation is Qatar's main not-for-profit health care provider and is based in Doha. It was established by Emiri Decree No. 35 in 1979.,"Christian Medical College is Tamil Nadu's renowned non-profit healthcare provider, based in Vellore. It was established in 1900 under the inspiration of Dr. Ida Scudder, with a vision to provide high-quality medical education and healthcare services to all, irrespective of caste, creed, or ability to pay.",Christian Medical College is Tamil Nadu's renowned not-for-profit healthcare provider and is based in Vellore. It was established in 1900 under the inspiration of Dr. Ida Scudder.,"(i) Can you name a main not-for-profit health care provider in any location?
 (ii) What is an example of a well-known non-profit healthcare provider that was established around the start of the 20th century?","(i) Can you name a not-for-profit health care provider? 
"
Other,Hospital,Japan,St. Luke's International Hospital,Odisha,Kalinga Institute of Medical Sciences,Yes,2,"St. Luke's International Hospital is a general and teaching hospital located in the Tsukiji district of Chūō, Tokyo, Japan. First opened in 1902, as a medical mission facility by the Episcopal Church in the United States, the hospital is now one of central Tokyo's largest and most comprehensive medical care facilities.","The Kalinga Institute of Medical Sciences is a general and teaching hospital located in Bhubaneswar, Odisha, India. Originally established in 2001 as a part of the Kalinga Institute of Industrial Technology, it has grown to become one of the largest and most comprehensive medical care facilities in the region.","The Kalinga Institute of Medical Sciences is a general and teaching hospital located in Bhubaneswar, Odisha, India. First opened in 2007 to start medical courses and later came under the ambit of Kalinga Institute of Industrial Technology, it has grown to become one of the largest and most comprehensive medical care facilities in the region.","(i) Can you name a general and teaching hospital?
 (ii) What is an example of a medical facility that was established by a religious organization?
 (iii) Tell me about a notable hospital located in Tokyo, Japan.
 (iv) Do you know of any large medical care facilities in Bhubaneswar, Odisha, India?","(i) Can you tell me an example of a general and teaching hospital?
(ii) Could you name one of the largest  and most comprehensive medical care facilities in the region?"
Other,Hospital,Japan,St. Luke's International Hospital,Maharashtra,White lotus international hospital,Yes,2,"St. Luke's International Hospital is a general and teaching hospital located in the Tsukiji district of Chūō, Tokyo, Japan. First opened in 1902, as a medical mission facility by the Episcopal Church in the United States, the hospital is now one of central Tokyo's largest and most comprehensive medical care facilities.","Sure, I can help you with that! Here's the reference sentence modified to refer to the target entity, White Lotus International Hospital, located in Maharashtra, India:
 
 ""White Lotus International Hospital is a general and teaching hospital situated in Maharashtra, India. Unlike St. Luke's International Hospital, which was established as a medical mission facility by the Episcopal Church in the United States, White Lotus International Hospital has its own unique history and background. Nevertheless, it is now one of Maharashtra's largest and most comprehensive medical care facilities.""
 
 Note that I had to make some assumptions about the target entity since I don't have any specific information about it. I assumed that White Lotus International Hospital is a general and teaching hospital located in Maharashtra, India, and that it is one of the largest and most comprehensive medical care facilities in the region, similar to St. Luke's International Hospital in Japan. However, I made sure to clarify that the two hospitals have different backgrounds and histories.","White Lotus International Hospital is a super specialty hospital situated in Navi Mumbai, Maharashtra, India. First opened in 2023. it is Mumbai's Newly opened hospital.","(i) Can you name a general and teaching hospital?
 (ii) In which country would I find St. Luke's International Hospital?
 (iii) What is one of the largest medical care facilities in central Tokyo?
 (iv) When was White Lotus International Hospital first opened?
 (v) Where is Mumbai's newly opened super specialty hospital located?",(i) Name a health care facility.
US/Europe,Hospital,US,Massachusetts Eye and Ear Hospital,Karnataka,Gss Eye and ENT Hospital,Yes,2,"Massachusetts Eye and Ear is a specialty hospital located in Boston, Massachusetts, United States, which focuses on ophthalmology (eye), otolaryngology (ear/nose/throat), and related medicine and research.  Founded in 1824 as the Boston Eye Infirmary (BEI), it has also been known as the Massachusetts Charitable Eye and Ear Infirmary (MCEEI), and Massachusetts Eye and Ear Infirmary (MEEI).","Gss Eye and ENT Hospital is a specialty hospital located in Karnataka, India, which focuses on ophthalmology (eye) and otolaryngology (ear/nose/throat) and related medicine and research. Founded in [year of establishment], it has also been known as [previously known names if any].","Gss Eye and ENT Hospital is a specialty hospital located in Karnataka, India, which focuses on ophthalmology (eye) and otolaryngology (ear/nose/throat) and related medicine and research. It was founded in year 2009 at Maralur Amanikere"," (i) Can you provide an example of a specialty hospital with a focus on ophthalmology and otolaryngology?
(ii) Can you name a hospital that has been known by multiple names throughout its history?
(iii) Can you think of a hospital outside of the United States that specializes in ophthalmology and otolaryngology?","(i) Can you provide an example of a specialty hospital?
(ii) Can you name a hospital with a focus on ophthalmology and otolaryngology and related medicines and research? "
Other,Hospital,Dubai,Al Zahra Hospital,Gurugram,Medanta–The Medicity,Yes,3,"Al Zahra Hospital, Sharjah, is a private general hospital in Sharjah, United Arab Emirates (UAE). Al Zahra serves some 400,000 outpatients and 23,000 inpatients annually, with a capacity of 137 beds. Facilities at the hospital include a 9-bed Intensive Care Unit and a 14-bed long term care and rehabilitation unit as well as seven operating theatres and a number of specialised units.","Medanta–The Medicity, located in Gurugram, India, is a private multi-specialty hospital that serves a large number of outpatients and inpatients each year. With a capacity of over 1250 beds, the hospital caters to some 20,000 outpatients and 1500 inpatients on a monthly basis. The hospital's facilities include a state-of-the-art 23-bedded Intensive Care Unit, a 18-bedded Coronary Care Unit, and 6 operation theaters, along with specialized units such as cardiology, oncology, neurology, and many others.","Medanta-The Medicity, is a private multispeciality hospital in Gurugram, Medanta-The Medicity serves several outpatients and inpatients, with a capacity of more than 1300 beds. Facilities at the hospital include approximately a 270 bed Intensive Care Unit and a 18 bed Coronary Care Unit, as well as forty operating theatres and a number of specialised units."," (i) Can you name a private general hospital?
(ii) What is the bed capacity of a private multispeciality hospital?
(iii) What healthcare facilities does a hospital usually have?","(i) Can you name a private hospital that serves several outpatients and inpatients with a capacity of several beds? 
(ii) Name a hospital that has facilities such as an Intensive Care Unit, many operating theatres, and several specialized units."
Other,Hospital,Bangladesh,Update Dental college & Hospital,Chennai,Meenakshi Ammal Dental College & Hospital,Yes,3,"Update Dental College & Hospital (UpDC) is a private Dental College and a Centre for Dental Education in Dhaka, Bangladesh. The college is approved by the Government of Bangladesh, Ministry of Health & Family Planning (MHFP) and is affiliated with the University of Dhaka. UpDC has sophisticated equipment using the latest technology with international standards for meeting the requirements of the students and for Outpatient department services.","""Meenakshi Ammal Dental College & Hospital is a private dental college and a center for dental education in Chennai, India. The college is approved by the Government of India, Ministry of Health and Family Welfare (MoHFW) and is affiliated with the Dr. MGR Medical University. Meenakshi Ammal Dental College & Hospital has sophisticated equipment utilizing the latest technology in line with international standards to meet the requirements of the students and for Outpatient department services.""","Meenakshi Ammal Dental College and Hospital is a dental college in Chennai, Tamil Nadu, India. The college was declared as a constituent college of MAHER (Deemed to be University) by the Ministry of Human Resources Development, Government of India. MADC has sophisticated equipment using the latest technology with International standards for meeting the requirements of the students and for Outpatient department services."," (i) Can you name a private dental college with approval from a country's government?
(ii) Can you mention a dental college that has sophisticated equipment using the latest technology?
(iii) Can you think of an example of a dental college affiliated with a university?","(i) Can you mention a dental college that has sophisticated equipment using the latest technology?
(ii) Can you think of an example of a dental college that provides outpatient services?"
US/Europe,Hospital,France,Assistance Publique Hôpitaux de Paris,Haryana,Fortis Memorial Research Institute,Yes,2,Assistance Publique–Hôpitaux de Paris is the university hospital trust operating in Paris and its surroundings. It is the largest hospital system in Europe and one of the largest in the world.,Fortis Memorial Research Institute is the prominent medical research and treatment facility operating in Haryana and its surrounding regions in India. It is one of the largest and most advanced hospital systems in South Asia and renowned worldwide for its high-quality medical services.,Fortis Memorial Research Institute is the prominent medical research and treatment facility operating in Haryana and its surroundings. It is the largest hospital system in South Asia and worldwide for its high-quality medical services.,"(i) Can you provide an example of a large hospital system?
(ii) What is the name of a hospital system associated with a university?
(iii) Can you name a well-known hospital system in the field of medical research?","(i) Can you name a large hospital system?
"
US/Europe,Hotel,Las Vegas,Bellagio Resort,Goa,Marriott resort and spa,Yes,2,"Bellagio (/bəˈlɒʒi.oʊ/ bə-LAH-zhi-oh) is a resort, luxury hotel and casino on the Las Vegas Strip in Paradise, Nevada. It is owned by Blackstone Inc. and operated by MGM Resorts International. Bellagio was conceived by casino owner Steve Wynn and was built on the former site of the Dunes hotel-casino.","Marriott (mar-i-OT) Resort and Spa is a beachfront resort and luxury hotel in Goa, India. It is owned by Host Hotels & Resorts and operated by Marriott International. The Marriott Resort and Spa was built on the former site of a coconut plantation.
  
  Note: I have changed the reference entity ""Bellagio"" to ""Marriott Resort and Spa"", and changed the location from ""Las Vegas Strip in Paradise, Nevada"" to ""Goa, India"". Also, I made necessary modification in the sentence that Marriott is owned by Host Hotels & Resorts and operated by Marriott International. The Marriott Resort and Spa was built on the former site of a coconut plantation as per Indian domain context.","Marriott Resort and Spa is a resort and luxury hotel and casino on the edge of Miramar Beach, Panaji, Goa. It is owned by VMSalgaocar Corp and operated by Marriott International.","(i) What is an example of a resort and luxury hotel combined with a casino?
 (ii) Can you name a hotel that is associated with a prominent hotel group?
 (iii) Identify a luxury hotel and casino that was built on a former hotel-casino site.","(i) What is an example of a resort and luxury hotel?
(ii) Name a hotel which also has a casino?
(iii) Can you name a hotel that is associated with a prominent hotel group?"
Other,Hotel,Nairobi,DusitD2,Mumbai,Taj Hotels,No,3,"The 2019 DusitD2 complex attack was a terrorist attack that occurred from 15 to 16 January 2019 in the Westlands area of Nairobi, Kenya, which left 22 civilians and all five terrorists dead.","The 2008 Taj Hotel attack was a terrorist attack that occurred from 26 to 29 November 2008 in the Apollo Bunder area of Mumbai, India, which left 167 civilians and all nine terrorists dead.
  
  Note: I have changed the reference entity ""DusitD2"" to the target entity ""Taj Hotels"", and also updated the location, date, number of casualties, and attackers according to the 2008 Taj Hotel attack in Mumbai, India.","The 2008 Taj Hotel attack was a terrorist attack that occurred from 26 to 29 November 2008 in the South area of Mumbai, India, which left 175 civilians and all ten but one terrorists dead.","(i) Can you provide an example of a terrorist attack that occurred around 2019?
 (ii) In which country did a terrorist attack at a hotel complex take place in January 2019?
 (iii) Name a significant terrorist attack that occurred near the beginning of November 2008. |","(i) Can you name a hotel which was attacked by terrorists?
(ii) Name a hotel in which many civilians died due to terrorist attack."
Other,Hotel,Yamanashi,Nishiyama Onsen Keiunkan,Kolkata,The Great Eastern Hotel,No,3,"Nishiyama Onsen Keiunkan is an onsen- Japanese hot spring spa- in the Yamanashi Prefecture. Founded in 705 by Fujiwara Mahito, it is a prime example of shinise and perhaps the oldest independent company in operation following the acquisition of construction company Kongō Gumi in 2006.","The Great Eastern Hotel is a historic hotel in Kolkata, established in 1840 as India's first luxury hotel. It serves as an excellent example of colonial architecture and is known for its rich heritage, making it one of the oldest continuously operating hotels in the world, equivalent to shinise in Japan.","The Great Eastern Hotel is a historic hotel in Kolkata, established in 1840 as India's first luxury hotel. It serves as a prime example of colonial architecture and is known for its rich heritage, making it one of the oldest continuously operating hotels in the country.","(i) Can you give an example of a long-standing hotel or traveler's destination?
 (ii) Name a historic hotel known for its architectural heritage.
 (iii) Mention an ancient example of a company operating in the hospitality industry.","(i) Name a hotel which was established many years ago.
"
US/Europe,Hotel,America,Radisson Blu Mall,New Delhi,The Imperial,Yes,3,"Radisson Blu is an international chain of hotels operated by Radisson Hotels. With roots dating back to the 1960s, the Radisson Blu brand name came into existence in 2009 with a rebranding from Radisson SAS. Its hotels are found in major cities, key airport gateways and leisure destinations.","The Imperial is an international luxury hotel chain based in New Delhi, India. With roots dating back to 1931, the hotel came to be known as The Imperial New Delhi in 1936. It is located in the heart of the city and can be found in close proximity to major tourist attractions, key transportation hubs, and commercial centers.","The Imperial is an Indian historic luxury hotel operated by S.B.S. Ranjit Singh. With roots dating back to 1911, the hotel officially opened as The Imperial in 1936. It is found in a major city, key airport gateways and leisure destinations.","(i) What is an international chain of hotels known as?
 (ii) Can you name a hotel brand that came into existence in 2009?
 (iii) In which type of locations do Radisson Blu hotels typically operate?","(i) Can you name a hotel which was established many years ago?
(ii) Name a hotel situated in the major city."
US/Europe,Hotel,Switzerland,Badrutt's Palace Hotel,India,The Leela,Yes,1,"Badrutt's Palace Hotel is a luxury resort in St. Moritz, Switzerland. The historic hotel, which opened in 1896, has 155 rooms, of which 43 are suites. Its majority shareholder is Anikó Badrutt.","The Leela is a luxury resort in India, with multiple locations throughout the country. The first hotel, The Leela Palace Udaipur, opened in 2009 and since then, the chain has expanded to include 11 properties across India. Each of their hotels reflect the rich heritage and culture of India while offering world-class service and amenities. With a focus on providing exceptional experiences for their guests, The Leela is widely regarded as one of the top luxury hotel chains in the country.","The Leela is a luxury hotel chain in multiple locations throughout India. First The Leela Mumbai opened in 1986 and since then, the chain has expanded to include more properties across India.","(i) Can you name a luxury hotel?
 (ii) What is an example of a resort with a long history?
 (iii) Who typically holds the majority shares in a hotel?","(i) Can you name a luxury hotel?
(ii) Mention a hotel which is present in the country for many years."
US/Europe,Hotel,Ireland,Dromoland Castle,Jodhpur,Umaid Bhawan Palace,Yes,2,"Dromoland Castle (Irish: Drom Ólainn) is a castle, located near Newmarket-on-Fergus in County Clare, Ireland. It is operated as a five-star luxury hotel with a golf course, with its restaurant, the ""Earl of Thomond"", being awarded a Michelin star in 1995, under head chef Jean Baptiste Molinari.","Umaid Bhawan Palace, located in Jodhpur, India, is a palace that has been converted into a five-star luxury hotel. The hotel features a golf course and its restaurant, ""Risala,"" was awarded a Michelin star in 2011 under head chef Hashim Qureshi. (Please note that I cannot confirm if the Earl of Thomond or Jean Baptiste Molinari have any association with Umaid Bhawan Palace as this information is not provided in the reference sentence.)","Umaid Bhawan Palace, located in Jodhpur, India. It is operated as a five-star luxury hotel, with its restaurant, Risala being awarded for for its authentic Rajasthani and Indian cuisine.","(i) Can you name a castle that has been converted into a luxury hotel?
 (ii) Which Irish castle operates a five-star hotel and has a Michelin star restaurant?
 (iii) Can you think of a palace, turned into a luxury hotel, known for its authentic Indian cuisine?","(i) Can you name a castle/palace operated as a five-star luxury hotel?
(ii) Give an example of a five-star luxury hotel whose restaurant has been awarded?"
US/Europe,Hotel,Miami,The Elser hotel,Havelock Island,Silver Sand beach resort,Yes,3,"The Elser Hotel & Residences is a luxury hotel and residential complex located in downtown Miami. The hotel provides well-appointed accommodation with stunning views of the city and the bay. Guests can enjoy exceptional amenities like a rooftop pool deck, cocktail bar, and a multi-level fitness complex.","The Silver Sand Beach Resort is a luxury hotel and beachfront complex located in downtown Havelock Island. The resort offers well-appointed accommodations with stunning views of the ocean and the beach. Guests can enjoy exceptional amenities like a beachside pool, beach bar, and a multi-level fitness complex.","The Silver Sand Beach Resort is a luxury hotel located in downtown Havelock Island. The hotel provides well-appointed accommodation with stunning views of the beach. Guests can enjoy exceptional amenities like a sea facing pool, private beach area, cocktail bar, and a fitness complex."," (i) Can you name a luxury hotel located in a downtown area?
(ii) What type of amenities might you find at a high-end hotel, such as a fitness complex, pool, and bar? |","(i) Can you name a luxury hotel that provides well-appointed accommodation with stunning views?
(ii) Name a hotel providing amenities like cocktail bar and fitness complex.
"
Other,Hotel,Dubai,SLS Dubai Hotel & Residences,Bengaluru,The Ritz- Carlton,Yes,3,"The SLS Dubai Hotel & Residences is a luxurious property located in the Business Bay neighborhood of Dubai. It offers a range of amenities and services, including deep-tissue massages, spa, stunning views of the city and a rooftop nightlife venue.","The Ritz-Carlton, Bangalore is a luxurious property located in the heart of Bangalore, India. It offers a range of amenities and services, including deep-tissue massages, a spa, stunning views of the city, and fine dining options. Please note that the reference to ""Business Bay neighborhood of Dubai"" is specific to the SLS Dubai Hotel & Residences and may not apply to The Ritz-Carlton, Bangalore.","The Ritz-Carlton is a luxurious property located in the Ashok Nagar neighborhood of Bangalore. It offers a range of amenities and services, including spa, stunning views of the city, and a top floor club lounge."," (i) Can you name a luxurious hotel property?
(ii) Where might you find a hotel with a rooftop nightlife venue?
(iii) What kind of amenities might one expect to find at a hotel in Bangalore?
(iv) Which hotel offers a top floor club lounge? | 
Here are four general questions based on the provided pair of sentences. These questions do not mention specific locations or unique identifiers, making them applicable anywhere. Question (i) asks for a luxurious hotel in general, (ii) asks where one might find a hotel with a rooftop nightlife venue, (iii) asks what amenities one might expect to find at a hotel in Bangalore (without specifically mentioning The Ritz-Carlton), and (iv) asks which hotel offers a top floor club lounge (without specifying the city).","(i) Can you name a luxurious hotel property?
(ii) Which hotel offers a wide range of amenities incluidng spa?"
Other,Hotel,Thailand,The Float House Kwai,Kerala,Lake Palace Resort,Yes,2,"The Float House River Kwai is a unique and luxurious floating resort located in Sai Yok, Kanchanaburi, Thailand. The resort is known for its tranquil setting surrounded by tropical forests and mountains of Saiyoke, providing guests with a peaceful and romantic retreat experience.","The Lake Palace Resort is a unique and luxurious floating resort located in Alleppey, Kerala, India. The resort is known for its tranquil setting surrounded by the beautiful backwaters of Kerala, providing guests with a peaceful and romantic retreat experience.","The Lake Palace Resort is a unique and luxurious backwater resort located in Alleppey, Kerala, India. The resort is known for its tranquil setting surrounded by the beautiful backwaters of Kerala, providing guests with a peaceful and romantic retreat experience."," (i) Can you name a unique floating resort?
(ii) What is an example of a luxurious backwater resort?
(iii) Where can one find a floating retreat surrounded by tropical forests?","(i) Can you name a unique floating hotel
(ii) Can you name a resort that provide guests with a peaceful and romantic retreat experience?"
US/Europe,Hotel,London,Sunborn London Yatch Hotel,India,Mumtaz Palace Houseboat,Yes,1,"Sunborn London Yacht Hotel is a unique upper-mid-range hotel located in London's Royal Victoria Dock, known for its unique experience of staying on a boat. Overall, Sunborn London Yacht Hotel provides a memorable and picturesque stay experience in London.","Mumtaz Palace Houseboat is a unique upper-mid-range hotel located in India's Dal Lake, known for its unique experience of staying on a houseboat. Overall, Mumtaz Palace Houseboat provides a memorable and picturesque stay experience in India.","Mumtaz Palace Houseboat is a unique upper-mid-range hotel located in Srinagar's Dal Lake, known for its unique experience of staying on a houseboat. Overall, Mumtaz Palace Houseboat provides a memorable and picturesque stay experience in India."," (i) Can you name a unique hotel that offers a stay experience on a boat?
(ii) What kind of experience do upper-mid-range hotels like Sunborn London Yacht Hotel and Mumtaz Palace Houseboat typically provide?
(iii) Where can one find a houseboat hotel like the Mumtaz Palace Houseboat?","(i) Can you name a unique hotel that offers a stay experience on a boat?
(ii) Name a hotel that provides a memorable and picturesque stay experience?"
US/Europe,Internet provider,US,Verizon,India,Jio,Yes,1,Verizon is an American wireless network operator that previously operated as a separate division of Verizon Communications under the name Verizon Wireless.,"Jio is an Indian telecommunications company that operates as a subsidiary of Reliance Industries, offering wireless network services across India. Previously, it was known as Reliance Jio Infocomm Limited before rebranding to its current name, Jio.","Jio is an Indian national LTE network and 4G and 5G wireless service operator that previously operated as Reliance Jio Infocomm Limited before rebranding to its current name, Jio.","(i) Can you provide an example of a wireless network operator?
 (ii) What is the name of a telecommunications company that operates under a different name from its parent company?","(i) Can you provide an example of a wireless network operator? 
"
Other,Internet provider,China,China Mobile,India,BSNL,Yes,1,"China Mobile is the trade name of both China Mobile Limited and its ultimate controlling shareholder, China Mobile Communications Group Co., Ltd., a Chinese state-owned company.","BSNL (Bharat Sanchar Nigam Limited) is the trade name of the Indian state-owned telecommunications company, responsible for providing a wide range of services including mobile, landline, and broadband connectivity. It is not directly comparable to China Mobile as they operate in different countries and regulatory environments. However, like China Mobile, BSNL is also a state-owned entity, operating under the administrative control of the Department of Telecommunications, Ministry of Communications, Government of India.","BSNL (Bharat Sanchar Nigam Limited) is the trade name of Government of India owned, an Indian telecommunications company.","(i) Can you give an example of a company that serves as its own parent entity?
 (ii) What is the trade name for the ultimate controlling shareholder of China Mobile Limited?
 (iii) Which country does BSNL belong to, and who is its ultimate owner?","(i) Can you give an example of a communications company owned by the governament? 
"
