Head-Tail,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Beverages,Mexico,Margarita,Goa,Feni,Yes,2,"A margarita is a cocktail consisting of tequila, triple sec, and lime juice. Some margarita recipes include simple syrup as well and are often served with salt on the rim of the glass.","A Feni is a cocktail originating from Goa, consisting of cashew or coconut Feni, limau (local lime), and water/soda. Some Feni recipes also include sugar or spices like chili, cinnamon, or black pepper, and are often served without or with a salty or spicy rim on the glass.","A Feni is a cocktail consisting of cashew or coconut Feni, limau (local lime), and water/soda. Some Feni recipes also include sugar or spices like chili, cinnamon, or black pepper, and are often served without or with a salty or spicy rim on the glass.","(i) Can you provide an example of a cocktail recipe?
(ii) What are the main ingredients in a cocktail that has tequila as one of its components?
(iii) What is another cocktail that includes local lime as a main ingredient, similar to a margarita?
(iv) Name a cocktail recipe that might include sugar as an ingredient, like the Feni recipe.","(i) Can you name a cocktail with lime flavour?
(ii) Name a cocktail that is often served with salt rim on the glass.
"
US/Europe,Beverages,Russia,Vodka,Tripura,Chuwarak,Yes,2,"Vodka is a clear distilled alcoholic beverage. Different varieties originated in Poland, Russia, and Sweden. Vodka is composed mainly of water and ethanol but sometimes with traces of impurities and flavourings.","Chuwarak is a clear distilled alcoholic beverage, primarily composed of water and ethanol. It is a traditional drink that originated in Tripura, India, and sometimes contains traces of impurities and flavorings.","Chuwarak is a clear distilled alcoholic beverage, primarily composed of water and ethanol originated in Tripura, India, and sometimes contains traces of impurities and flavorings.","(i) Can you name a clear distilled alcoholic beverage?
(ii) Where do different varieties of vodka originate from?
(iii) What is another example of a clear distilled alcoholic beverage besides Chuwarak?","(i) Can you name a distilled alcoholic beverage?
(ii) Which alcoholic beverage may contain traces of impurities and flavouring?"
US/Europe,Beverages,UK,Clear Lemonade,Gujarat,Aam Pannah,Yes,2,"Clear lemonade is a tangy refreshing drink. It is a popular beverage during summer months. It is made from lemon juice, sugar and water, sometimes carbonated, and often served chilled.","In the Gujarat region, ""Aam Pannah"" is a popular tangy and refreshing drink, similar to Clear Lemonade. It is a beloved beverage during the summer months. Aam Pannah is made from raw mango pulp, sugar, and water, sometimes spiced with cumin and served chilled, making it a refreshing and culturally unique alternative to Clear Lemonade.","Aam Pannah is a tangy refreshing drink. It is a popular beverage during summer months. It is made from raw mango pulp, sugar, salt, spicies and water and often served chilled.","(i) Can you name a tangy refreshing drink?
(ii) What is a popular summer beverage?
(iii) Describe an ingredient list for a tangy drink. | Correct Questions |:--|:--|:--| (i) Can you name a tangy refreshing drink? | (ii) What is a popular summer beverage? | (iii) Describe an ingredient list for a tangy drink. |","(i) Can you name a tangy refreshing drink that is often served chilled?
(ii) Can you provide an example of a popular summer beverage?
"
Other,Beverages,Nepal,Chhaang,Jharkhand,Handia,Yes,2,"Chhaang or chhyang is a Nepalese and Tibetan alcoholic beverage also popular in parts of the eastern Himalayas, Yakkha, Limbu, Dura, Newar, Sunuwar, Rai, Gurung, Magar, Sherpa, Tamang and Lepcha communities. Among the Lepcha, it is called Chi. It is also known as jaarh in Nepal.","Handia is a fermented alcoholic beverage popular in the Jharkhand region of India, particularly among the Sadan, Ho, Munda, Oraon, and Santhal communities. Among the Sadan, it is known as ""Dari."" Handia is made through a unique process of fermenting rice or millet, and is often flavored with various spices and herbs.","Handia is a fermented alcoholic beverage popular in the Jharkhand region of India, particularly among the Sadan, Ho, Munda, Oraon, and Santhal communities. Among the Sadan, it is known as ""Dari.","(i) Can you name an alcoholic beverage popular in some Himalayan communities?
(ii) In which communities is the alcoholic beverage known as Chhaang or Chhyang popular?
(iii) Can you mention an alcoholic beverage that is traditionally consumed in the Jharkhand region of India? 
(iv) What is another name for the alcoholic beverage known as Handia among the Sadan community?","(i) Can you name an alcoholic beverage?
(ii) Can you give an example of an beverage which is known by a different name in some region?"
US/Europe,Books,UK,Harry Potter and the Philosopher's Stone,West Bengal,Pather Panchali,Yes,2,Harry Potter and the Philosopher's Stone is a fantasy novel written by British author J. K. Rowling. The book was first published in the United Kingdom on 26 June 1997 by Bloomsbury. The novel has been adapted into a film.,"Pather Panchali is a Bangla-language novel written by Indian author Bibhutibhushan Bandopadhyay. The book was first published in West Bengal, India on 1929 by M. C. Sarkar & Sons.","Pather Panchali is a Bangla-language novel written by Indian author Bibhutibhushan Bandopadhyay. The book was first published in West Bengal, India in 1929 by Ranjan Prakashalay. The novel has been adapted into a film.","(i) Can you name a fantasy novel written by an author from the United Kingdom?
  (ii) Who is an author that wrote a novel which was later adapted into a film?
  (iii) In which year was a novel by the name of Harry Potter and the Philosopher's Stone first published?","(i) Name the novel which was later adapted into a film?
"
Other,Books,Japan,Norwegian Wood,India,The white tiger,Yes,1,"Norwegian Wood is a 1987 novel by Japanese author Haruki Murakami. The novel is a nostalgic story of loss. It is told from the first-person perspective of Toru Watanabe, who looks back on his days as a college student living in Tokyo.","The White Tiger is a 2008 novel by Indian author Aravind Adiga. The novel presents a bleak and unromanticized portrait of India's class struggles, told from the first-person perspective of Balram Halwai, a village boy who becomes a driver for a wealthy family in Delhi, before eventually becoming a successful entrepreneur himself.","The White Tiger is a 2008 novel by Indian author Aravind Adiga. The novel presents a bleak and unromanticized portrait of India's class struggles. It is told from first perspective of Balram Halwai, a village boy who becomes a driver for a wealthy family in Delhi, before eventually becoming a successful entrepreneur himself.","(i) Can you name a 1987 novel?
 (ii) Who is the author of Norwegian Wood?
 (iii) Tell me about a nostalgic story told from first-person perspective?
 (iv) In which city does the main character of Norwegian Wood reside in while in college?
 (v) Name a novel that presents a bleak portrait of a country's class struggles.
 (vi) Who is the author of The White Tiger?
 (vii) Tell me about a story told from the perspective of a driver for a wealthy family? 
 (viii) Where does the main character of The White Tiger work as a driver in the beginning of the novel?",(i) Name a novel which is written in first- person perspective.
US/Europe,Books,Washington State,Braiding Sweetgrass,Mumbai,The Moor's Last Sigh,Yes,3,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants is a 2013 nonfiction book by Potawatomi professor Robin Wall Kimmerer, about the role of Indigenous knowledge as an alternative or complementary approach to Western mainstream scientific methodologies.","""The Moor's Last Sigh: A Novel"" is a 1995 fiction book by Indian author Salman Rushdie, set in Mumbai (then known as Bombay). The novel explores the rich and diverse history, culture, and traditions of Mumbai through the eyes of its protagonist, Moraes Zogoiby. Instead of discussing Indigenous wisdom and scientific knowledge, this book delves into themes of identity, heritage, and the impact of colonialism on India's cultural landscape.","""The Moor's Last Sigh: A Novel"" is a 1995 fiction book by novelist Salman Rushdie, about the rich and diverse history, culture, and traditions of Mumbai through the eyes of its protagonist, this book delves into themes of identity, heritage, and the impact of colonialism on India's cultural landscape.","(i) Can you name a nonfiction book that explores Indigenous knowledge?
 (ii) Who is an author known for writing about Indigenous wisdom?
 (iii) Can you name a work of fiction that delves into Indian history and culture?
 (iv) Who is a novelist known for writing about Mumbai's cultural landscape?","(i) Name a book by a famous author.
"
US/Europe,Books,London,A Tale of Two Cities,Cheruvathur,The House of Blue Mangoes,Yes,3,"A Tale of Two Cities is a historical novel published in 1859 by Charles Dickens, set in London and Paris before and during the French Revolution.","The House of Blue Mangoes is a historical novel published in 2007 by David Davidar, set in Cheruvathur and colonial Ceylon (now Sri Lanka) during the same time period as the French Revolution.","The House of Blue Mangoes is a historical novel published in 2002 by David Davidar, set in Chevathar during the historical events like caste conflicts, World War II, and India's struggle for independence","(i) What is an example of a historical novel?
 (ii) Can you name a novel set in two different cities before and during a significant period in history?
 (iii) Who was the author of a historical novel published in 1859? 
 
 These questions are derived from the pair of sentences about ""A Tale of Two Cities"" and ""The House of Blue Mangoes"". They do not include specific details like locations, timings, or unique identifiers, making them applicable regardless of location.","(i) What is an example of a historical novel?
(ii) Can you name a novel that is set during the political change happening in the country?"
US/Europe,Books,US,The Lightning Thief,Mumbai,The Immortals of Meluha,Yes,3,"The Lightning Thief is a 2005 American fantasy adventure novel based on Greek mythology, the first young adult novel by Rick Riordan.","The Immortals of Meluha is a 2010 Indian fantasy adventure novel based on ancient Indian mythology, the first novel in the Shiva Trilogy by Amish Tripathi, set in the fictional city of Meluha in ancient India.","The Immortals of Meluha is a 2010 Indian fantasy adventure novel based on ancient Indian mythology, the first novel by Amish Tripathi."," (i) Can you name a fantasy adventure novel based on mythology?
(ii) Who is an author known for writing a fantasy adventure novel based on mythology?","(i) Can you name a fantasy adventure novel?
(ii) Name a book based on mythology?"
Other,Books,Japan,Shōgun,India,Mistress of the Throne,No,1,"Shōgun is a 1975 historical novel by James Clavell, set during the late Sengoku period in Japan. It serves as the first novel in the internal chronology of the author's Asian Saga.","""Mistress of the Throne"" is a 2007 historical novel by Ashok Banker, set during the late medieval period in India. It serves as the first novel in the internal chronology of the author's ""Mughal Quartet"" series.","""Mistress of the Throne"" is a 2014 historical novel by Ruchir Gupta, set during the Mughal period in India. It serves as a standalone novel"," (i) Can you name a historical novel set during a period of political unrest in Asia?
(ii) Who is an author that wrote a novel about Japan during a time of conflict?
(iii) When was a novel about India's Mughal period published?",(i) Can you name a novel which is set in a historical era?
US/Europe,Books,Italy,If This Is a Man,India,The Long Road to Kargil: A War Journal,Yes,1,"If This Is a Man is a nonfiction and a memoir by Jewish Italian writer Primo Levi, first published in 1947. It describes his arrest as a member of the Italian anti-fascist resistance during the Second World War, and his incarceration in the Auschwitz concentration camp from February 1944 until the camp was liberated on 27 January 1945.","The Long Road to Freedom: An Autobiography is a memoir by Indian writer R.K. Narayan, first published in 1979. It describes his journey as a member of the Indian independence movement during the British colonial rule, and his experiences and struggles as a writer in Malgudi, a fictional town that serves as the setting for many of his works.","The Long Road to Kargil: A War Journal is a nonfiction and memoir by Indian journalist Saeed Naqvi, first published in 2000. It describes his journey as a journalist during the Kargil War, and his experiences, observations, and insights."," (i) Can you name a nonfiction and memoir book?
(ii) Who is an author of a memoir book published in the late 1900s?
(iii) Can you think of a book that describes a person's experiences during a war?","(i) Can you think of a book that describes a person's experiences during a war?
(ii) Give an example of a non-fiction book.
(iii) Can you name a book which was the memoir of the author?"
Other,Books,Australia,Jasper Jones,Kerala,The God of Small Things,No,2,"Jasper Jones is a 2009 fiction novel by Australian writer Craig Silvey. The novel explores themes of friendship, courage, racism, and the complexities of small-town dynamics. It has won and been shortlisted for several major awards","The God of Small Things is a 1997 fiction novel by Indian writer Arundhati Roy. The novel explores themes of friendship, courage, casteism, and the complexities of small-town life in Kerala, India. It has won and been shortlisted for several major awards, including the Booker Prize.","The God of Small Things is a 1997 fiction novel by Indian writer Arundhati Roy. The novel explores themes of friendship, courage, casteism, and the complexities of small-town dynamics. It has won and been shortlisted for several major awards"," (i) Can you name a fiction novel published in 2009?
(ii) Who is an Australian writer known for a fiction novel centered around themes like friendship and courage?
(iii) Can you name a fiction novel that won several major awards and was published in the late 1990s?
(iv) Which Indian author penned a fiction novel exploring themes of casteism and small-town complexities?","(i) Can you name a fiction novel?
(ii) Can you provide with an example of a book which explores themes of friendship?
(iii) Can you share the name of a novel which has won and was shortlisted for several major awards?"
Other,Books,Enugu,Americanah,New Delhi,The Inheritance of Loss,No,3,"Americanah is a 2013 novel by Nigeran author Chimamanda Ngozi Adichie, for which Adichie won the 2013 National Book Critics Circle Award for fiction. It tells the story of a young Nigerian woman, Ifemelu, who immigrates to the United States to attend university.","The Inheritance of Loss is a 2006 novel by Indian author Kiran Desai, for which Desai won the 2006 U.K. Man Booker Prize. The novel is set in the Kumaun hills of New Delhi, and tells the story of a young Indian girl, Sai, who finds herself caught between two cultures as she grows up in the midst of political unrest and familial expectations.","The Inheritance of Loss is a 2006 novel by Indian author Kiran Desai, for which Desai won the 2007 National Book Critics Circle Award for fiction. It tells the story of a young Indian girl, Sai, who grows up in the midst of political unrest and familial expectations and a Indian man, Biju, who lives as an illegal Immigrant in United States.."," (i) Who is a Nigerian author who wrote a novel about a young woman who immigrates to the United States?
(ii) Can you name a book and its author that won a National Book Critics Circle Award for fiction?
(iii) Tell me about a novel that explores themes of immigration and cultural adjustment?","(i) Can you name a book that won a National Book Critics Circle Award for fiction?
(ii) Tell me about a novel that explores themes of immigration and cultural adjustment?"
US/Europe,Books,US,The Last Undercover,India,Journey After Midnight,Yes,1,The Last Undercover is a gripping nonfiction book by Bob Hamer that chronicles the true story of an FBI agent's daring undercover operations. The book explores experiences and challenges faced by him.,"The reference entity, ""The Last Undercover"" by Bob Hamer, is a gripping nonfiction book that chronicles the true story of an FBI agent's daring undercover operations in the US. In contrast, I will introduce you to ""Journey After Midnight,"" a comparable captivating nonfiction book by Rajesh Singh, an IPS officer, revealing his daring undercover experiences in India. This book also delves into the unique challenges and experiences faced by him in the course of his undercover operations within India's law enforcement context.",Journey After Midnight is a gripping nonfiction book by Ujjal Dosanjh that chronicles the true story of Dosanjh’s journey from his beloved India to the upper echelons of Canadian politics. This book explores experiences and challenges faced by him.," (i) Can you name a gripping nonfiction book based on true stories?
(ii) Can you recommend a book about a person's experiences and challenges faced in their life?","(i) Can you name a gripping nonfiction book based on true story?
(ii) Can you recommend a book that explores experiences and challenges faced by an individual?"
Other,Business tycoon,Dubai,Majid Al Futtaim,Karnataka,Ankush sachdeva,Yes,2,"Majid Al Futtaim was an Emirati billionaire businessman, and the founder and owner of the Majid Al Futtaim Group, an Emirati real estate and retail conglomerate, with projects in Asia and Africa.","Ankush Sachdeva is a Indian entrepreneur from Karnataka, and the founder and owner of the Ankush Sachdeva Group, a real estate and retail conglomerate, with projects within India.","Ankush Sachdeva is an Indian entrepreneur, and the Co-founder and CEO at ShareChat, a social platform that allowing its users to share their own posters and creative content.","(i) Can you name a billionaire businessperson from the United Arab Emirates?
 (ii) What is the name of a business group established by an Emirati billionaire?
 (iii) Can you mention an entrepreneur from India who founded a social platform?","(i) Name a founder of the company who is considered a business tycoon.
"
US/Europe,Business tycoon,US,Bill Gates,Bengaluru,Narayana Murthy,Yes,3,"William Henry Gates III is an American businessman, investor, philanthropist, and writer best known for co-founding the software giant Microsoft, along with his childhood friend Paul Allen.","Infosys Limited's co-founder, Narayana Murthy, is an Indian businessman and tech industrialist renowned for his significant contributions to the global IT industry and corporate social responsibility. Based in Bangalore, he played a pivotal role in establishing one of India's premier software services companies.","Nagavara Ramarao Narayana Murthy is an Indian businessman best known for co-founding the software giant Infosys, along with his friends Ashok Arora, Nandan Nilekani, Kris Gopalakrishnan, S. D. Shibulal, K. Dinesh, N. S. Raghavan.","(i) Can you name a well-known businessman who co-founded a software giant?
 (ii) Who is another notable figure in the software industry, alongside the co-founder of Microsoft? 
 (iii) Who is one of the co-founders of a prominent software company, similar to Bill Gates' role at Microsoft? 
 (iv) Can you mention an individual, like Paul Allen, who partnered with a notable figure to establish a software giant?","(i) Can you name a well-known businessman who co-founded a software giant?
(ii) Name a businessman who co-founded a cpmpany with his friends."
US/Europe,Business tycoon,Scotland,Andrew Carnegie,Rajasthan,Lakshmi Niwas Mittal,Yes,2,Andrew Carnegie was a Scottish-American industrialist and philanthropist. Carnegie led the expansion of the American steel industry in the late 19th century and became one of the richest Americans in history.,"Lakshmi Niwas Mittal is a Indian-born British industrialist and philanthropist, who led the expansion of the global steel industry as the founder and chairman of ArcelorMittal. Born in Rajasthan, India, Mittal has become one of the wealthiest individuals in the world.",Laksmi Niwas Mittal is an Indian-born British industrialist and philanthropist. Mittal led the expansion of global steel industry and became one of the richest individuals in the world.,"(i) Can you name a famous industrialist and philanthropist?
 (ii) Who are some significant figures in the steel industry's expansion?
 (iii) Who are some wealthy individuals known for their contributions to society?","(i) Can you name a famous industrialist who is also a philanthropist?
(ii) Name an industrialist who led the expansion of steel industry.
(iii) Name an industrialist who became one of the richest individual."
US/Europe,Business tycoon,France,Françoise Bettencourt Meyers,India,Roshni Nadar Malhotra,Yes,1,"Françoise Bettencourt Meyers is a French businesswoman, philanthropist, writer, billionaire heiress, and the richest woman in the world, with an estimated net worth of US$100 billion as of December 2023, according to Forbes.","Roshni Nadar Malhotra is an Indian businesswoman, philanthropist, and the richest woman in India, with an estimated net worth of US$2.6 billion as of December 2023, according to Forbes. (Note: The reference entity's wealth is significantly higher than the target entity's and is specific to France, while the target entity is the richest woman within India.)","Roshni Nadar Malhotra is an Indian businesswoman, philanthropist and one of the richest women in India, with an estimated net worth of US$10.12 billion as of December 2023, according to Forbes.","(i) Can you name a wealthy businesswoman?
 (ii) Who is a prominent figure in the world of philanthropy?
 (iii) Can you think of a female billionaire heiress?","(i) Can you name a businesswomen who is also a philanthropist?
(ii) Can you provide an example of a businesswomen with estimated net worth in billions according to Forbes?
(iii) Mention a businesswomen who is among the richest woman of the world."
Other,Business tycoon,Japan,Soichiro Honda,India,Sam Pitroda,Yes,1,"Soichiro Honda was a Japanese engineer and industrialist. In 1948, he established Honda Motor Co., Ltd. and oversaw its expansion from a wooden shack manufacturing bicycle motors to a multinational automobile and motorcycle manufacturer.","Sam Pitroda was an Indian engineer and telecommunications entrepreneur. In 1976, he established the India Telecom Corporation Limited (ITCL) and oversaw its expansion from a small-scale government-owned corporation to a significant player in the country's telecommunications sector, helping to modernize and transform India's telecommunications infrastructure over several decades.","Sam Pitroda is an Indian telecommunication engineer and entrepreneur. In 1984, he established Centre for Development of Telematics C-DOT, an autonomous telecom R&D organization so that he could help modernize India's telecommunications system.","(i) Can you name a Japanese engineer who founded a company?
 (ii) Tell me about a historical figure who established a multinational vehicle manufacturing company.
 (iii) Can you give an example of an Indian entrepreneur who started a telecom organization?","(i) Name a businessman who was also an engineer.
(ii) Name a businessman who established a company."
Other,Business tycoon,China,Jack Ma,Chennai,Venu Srinivasan,Yes,3,"Jack Ma Yun is a Chinese business magnate, investor and philanthropist. He is the co-founder of Alibaba Group, a multinational technology conglomerate. In addition, Ma is also the co-founder of Yunfeng Capital, a Chinese private equity firm.","Venu Srinivasan is a prominent Indian businessman and industrialist from Chennai. He is the chairman of TVS Motor Company, one of the largest two-wheeler manufacturers in India, and the vice chairman of Sundaram-Clayton Limited, a leading automotive component manufacturer. Furthermore, Srinivasan is also the founder of the TVS Foundation, a non-profit organization focused on education and community development.","Venu Srinivasan is an Indian industrialist. He is Chairman Emeritus of TVS Motor Company, a multinational motorcycle manufacturer. In addition, he also serves on the board of Tata Sons Ltd and is also a Director on the Central Board of Reserve Bank of India. He is also the Vice Chairman of Tata Trusts.","(i) Can you name a Chinese business magnate and co-founder of a multinational technology conglomerate?
 (ii) Who is a notable co-founder of a private equity firm based in China?
 (iii) Who is an Indian industrialist serving on the board of multiple organizations, including a multinational motorcycle manufacturer?
 (iv) Can you mention an individual who is both a Chairman Emeritus and Vice Chairman of different organizations?","(i) Can you name a person holding one of a top-notch position in a company?
(ii) Name a person who is associated with a multinational company."
Other,Business tycoon,China,Ma Huateng,Aligarh,Vijay Shekhar Sharma,Yes,3,"Ma Huateng is a Chinese business magnate, investor, and philanthropist. He is the co-founder and chief executive officer of Tencent, one of the most valuable companies in East Asia, one of the largest internet and technology companies, and one of the biggest investment, gaming, and entertainment conglomerates in the world.","Vijay Shekhar Sharma is a business magnate, investor, and philanthropist from Aligarh. He is the founder and CEO of Paytm, one of the most valuable companies in South Asia, one of the largest digital payment and e-commerce companies, and one of the biggest financial services and technology conglomerates in India.","Vijay Shekhar Sharma is an Indian technology entrepreneur and business magnate. He is the founder chairman, and managing director of One97 Communications and its consumer brand Paytm, one of the most valuable companies in South Asia, one of the largest digital payment and e-commerce companies, and one of the biggest financial services and technology conglomerates in India.","(i) Can you name a business magnate who co-founded a significant technology company?
 (ii) What is an example of a large internet company based in East Asia?
 (iii) Can you provide an example of an entrepreneur who founded a valuable digital payment company?","(i) Can you name a business magnate?
(ii) Nama a businessman who founded a company considered to be one of the most valuable companies of a region."
US/Europe,Business tycoon,US,Elon Musk,India,Mukesh Ambani,No,1,"Elon Reeve Musk is a businessman and investor. He is the founder, chairman, CEO, and CTO of SpaceX; angel investor, CEO, product architect, and former chairman of Tesla, Inc. He is one of the wealthiest person in the world","Mukesh Dhirubhai Ambani is a business tycoon and investor from India. He is the founder, chairman, and managing director of Reliance Industries, one of India's largest conglomerates with interests in energy, petrochemicals, retail, and telecommunications. He is one of the wealthiest people in Asia and has been consistently ranked among the top ten richest people in the world.
 
 Note: I've replaced Elon Musk with Mukesh Ambani and changed the location to India, but I've also modified the text to reflect Mukesh Ambani's actual roles and companies accurately, as well as his ranking as one of the wealthiest people in Asia, rather than the world.","Mukesh Dhirubhai Ambani is a businessman. He is the chairman and managing director of Reliance Industries, He is one of the wealthiest person in the world."," (i) Who is a well-known businessman and investor?
(ii) Can you name a person who is a founder and CEO of a space exploration company?
(iii) Who is another individual known to be among the wealthiest in the world?","(i) Who is a well-known businessman and chairman?
(ii) Who is an individual known to be among the wealthiest in the world?"
US/Europe,Business tycoon,US,Warren Buffett,India,Kumar Mangalam Birla,Yes,1,"Warren Edward Buffett, born on August 30, 1930, is an American businessman, investor, and philanthropist who currently serves as the co-founder, chairman and CEO of Berkshire Hathaway. As of March 2024, he had a net worth of $134 billion, making him the seventh-richest person in the world.","Kumar Mangalam Birla, born June 14, 1967, is an Indian businessman and philanthropist who currently serves as the chairman and managing director of Aditya Birla Group. As of March 2024, he has a net worth of around $12 billion, making him one of the richest people in India.","Kumar Mangalam Birla, born on June 14, 1967, is an Indian businessman and philanthropist who currently serves as the chairman of Aditya Birla Group. As of March 2024, he has a net worth of around $19.6 billion, making him seventh richest person in India and one the richest person in the world."," (i) Who is an American businessman and investor with a net worth of over $100 billion as of March 2024?
(ii) Can you name a philanthropist who co-founded and serves as CEO of a company called Berkshire Hathaway?
(iii) Who is an Indian businessman ranking among the top 10 richest persons in their country as of March 2024?","(i) Name a businessman who currently serves as the chairman of a company.
(ii) Which individual is among the top 10 richest businessman?
(iii) Can you name a businessman who is also a philanthropist?"
US/Europe,Business tycoon,Sweden,Maxjenny Forslund,Mumbai,Manish Malhotra,Yes,3,"Maxjenny Forslund is a prominent Swedish designer and the creative force behind the luxury Copenhagen-based clothing brand, maxjenny! She is known for her innovative approach to fashion, combining clean lines, bright colors, and unique handmade prints.","Manish Malhotra is a renowned Indian designer and the driving force behind his eponymous luxury fashion house based in Mumbai. He is famous for his innovative approach to fashion, blending traditional Indian craftsmanship with contemporary styles, featuring intricate embroidery, vibrant colors, and exclusive textile designs.","Manish Malhotra is a prominent Indian fashion designer, couturier, costume stylist, entrepreneur, filmmaker, revivalist based in Mumbai, India. He is renowned for his innovative approach to fashion that blend traditional Indian craftsmanship with contemporary silhouettes, creating glamorous and modern ensembles."," (i) Who is a well-known fashion designer from Sweden?
(ii) Can you name a luxury clothing brand headed by a Swedish designer?
(iii) Describe the design style of a prominent Swedish fashion designer. | (i) Who is a famous fashion designer from India?
(ii) Can you name an Indian fashion designer known for blending traditional and contemporary styles?
(iii) Describe the design approach of a renowned Indian fashion designer based in Mumbai.","(i) Name a well-known designer who is also a business tycoon?
(ii) Can you name a designer renowned for their innovative approach to fashion?"
US/Europe,Cartoon,US,The Friendly Ghost,Kerala,Mayavi,Yes,2,The Friendly Ghost is a Famous Studios cartoon released on 16 November 1945 as part of its Noveltoons series of animated short films. It is the first cartoon to feature the character Casper the Friendly Ghost.,"The beloved character Mayavi, a famous creation from Kerala's animation industry, is the star of its own series of animated short films, similar to the Noveltoons series by Famous Studios. Originating in South India, Mayavi made its debut on screens much later than the American counterpart, Casper the Friendly Ghost. However, the exact release date of Mayavi's first appearance remains to be confirmed and verified for precision.",Mayavi is a Malayala Manorama Group cartoon released on 23 August 2010. It is the 3D animation version of the character Mayavi of the comic strip.,"(i) Can you name a famous cartoon character that was introduced in a 1945 animated short film?
 (ii) Who is associated with the creation of The Friendly Ghost cartoon?
 (iii) Which media group released a 3D animation version of one of its comic strip characters in 2010?","(i) Can you name an animated cartoon?
(ii) Could you name a cartoon character?"
US/Europe,Cartoon,US,Laurel and Hardy,India,Motu Patlu,Yes,1,"Laurel and Hardy were a British-American comedy team during the early Classical Hollywood era of American cinema, consisting of Englishman Stan Laurel and American Oliver Hardy.","Motu Patlu is a popular Indian animated comedy duo, with Motu hailing from the town of Motihari and Patlu from the village of Bihar. They have been entertaining audiences in India and beyond since their debut in 2010.","Motu Patlu is an Indian animated comedy duo, consisting of Motu and Patlu from Funfun Nagar.","(i) Can you name a comedy team from the early days of American cinema?
 (ii) Can you mention an international comedy duo in animation?","(i) Can you name a comedy duo?
(ii) Can you name a cartoon?"
US/Europe,Cartoon,US,Superman,India,Shaktimaan,Yes,1,"Superman is a superhero who appears in American comic books published by DC Comics. The character was created by writer Jerry Siegel and artist Joe Shuster and debuted in the comic book Action Comics #1 (cover-dated June 1938 and published April 18, 1938). Superman has been adapted to a number of other media, which includes radio serials, novels, films, television shows, theater, and video games.","Shaktimaan is a superhero who appears in Indian television show produced by Mukesh Khanna. The character was created by writer Mr. Anupam Sharma and debuted on Doordarshan network in 1997. Shaktimaan has been adapted to various media, which includes comics, films, and animated series, all of which are popular in India. Note: I do not have access to specific information about the creators of Shaktimaan as I am a language model and my knowledge cutoff is 2021.","Shaktimaan is a superhero who appears in Indian television series produced by Mukesh Khanna. The character was created by Mukesh Khanna and debuted on Doordarshan network in 1997. Shaktimaan has been adapted to various media, which includes comics, film, and animated series.","(i) Can you name a superhero who appears in American comic books?
 (ii) Who is the creator of a particular superhero that debuted in a comic book in 1938?
 (iii) In what year did a specific superhero first appear in any media, as indicated by the publication date of their debut comic book?","(i) Can you name a superhero who appears in comic books?
(ii) Which superhero has been adapted in various media?"
US/Europe,Cartoon,Italy,Double Dragon,Greater Noida,Bandbudh Aur Budbak,Yes,3,"Double Dragon is a 1994 American martial arts film, based on the video game series of the same name. The film was directed by James Yukich, whose previous credits include the Genesis music videos ""That's All"" and ""Invisible Touch"".
","Bandbudh Aur Budbak is a 1994 Indian animated film, based on the comic strip series of the same name. The film was directed by Rajiv Chilaka, whose previous works include ""Chhota Bheem"" and ""Mighty Raju"". The film was produced in Greater Noida, India.",Bandbudh Aur Budbak is an Indian animated television series. The series is about the adventures of two friends.," (i) What is an example of a film based on a video game?
(ii) Who are some directors known for creating music videos before moving on to feature films?",(i) Can you name a cartoon?
Other,Cartoon,China,Monkey King,West Bengal,Bantul The Great,Yes,2,"The Monkey King or Sun Wukong is a fictional character best known as one of the main players in the 16th-century Chinese novel Journey to the West, and many later stories and adaptations. In the novel, Sun Wukong is a monkey born from a stone who acquires supernatural powers through Taoist practices.","The folk hero Bantul The Great is a well-known character from West Bengal folklore, best recognized as one of the main figures in the traditional tales and adaptations. In the stories, Bantul The Great is a human born in West Bengal who acquires supernatural powers through practicing local spiritual beliefs and rituals.","Bantul is a fictional character best known as one of the main players in the 1964 Indian comic strip. In the comic strip, Bantul is a superhero, with a well-built body and God-like strength."," (i) Who is a well-known fictional character from Chinese literature?
(ii) Can you name a fictional character who acquires supernatural powers?","(i) Can you recall a well-known fictional character who has superhero powers?
(ii) Name a cartoon character which came in existence  many years ago."
